,Movie,Year of release,Genre,Directed by,Starring,Synopsis,Duration in minutes,IMDB User Rating,Metascore from Metacritic
0,The Dark Knight,2008,"['Action, Crime, Drama']",Christopher Nolan ,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","['When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.']",152,9,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""fe19ddab-178f-4907-8957-59a57a9aa3be"")>"
1,Inception,2010,"['Action, Adventure, Sci-Fi']",Christopher Nolan ,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",['A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.'],148,8.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""1ff083ad-e886-4531-9e68-e73caa822c78"")>"
2,Kill Bill: Vol. 1,2003,"['Action, Crime, Drama']",Quentin Tarantino ,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen","['After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.']",111,8.1,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""79cc3973-0398-42f7-b18e-0667f3695713"")>"
3,Gladiator,2000,"['Action, Adventure, Drama']",Ridley Scott ,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",['A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.'],155,8.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""eb5f8349-58ce-4666-937d-effef51a7095"")>"
4,Terminator 2: Judgment Day,1991,"['Action, Sci-Fi']",James Cameron ,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","['A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.']",137,8.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""fcd343d4-8c98-4a33-9cea-1fbc2dfc9067"")>"
5,The Bourne Ultimatum,2007,"['Action, Mystery, Thriller']",Paul Greengrass ,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",['Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.'],115,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""35c3d89d-f0f6-47e0-937f-15eec7bb3be3"")>"
6,The Dark Knight Rises,2012,"['Action, Adventure']",Christopher Nolan ,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman","[""Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.""]",164,8.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""ef1abc79-1c82-4f81-8ed4-605b0ea1aa47"")>"
7,The Matrix,1999,"['Action, Sci-Fi']","Lana Wachowski, Lilly Wachowski ","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","['When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.']",136,8.7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""33dcf133-d88c-48e1-81f9-a691d1f252b8"")>"
8,Avatar,2009,"['Action, Adventure, Fantasy']",James Cameron ,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",['A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.'],162,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""6a38ca52-03c0-49f0-bd17-3fe213be26dd"")>"
9,Minority Report,2002,"['Action, Crime, Mystery']",Steven Spielberg ,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","['In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.']",145,7.6,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""00f2ca9e-37b1-4b64-88a5-1d49d89fbc86"")>"
10,Leon,1994,"['Action, Crime, Drama']",Luc Besson ,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","[""Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.""]",110,8.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""60e55cae-2119-4867-b7bb-9f6511497e6f"")>"
11,Hot Fuzz,2007,"['Action, Comedy, Mystery']",Edgar Wright ,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy",['A skilled London police officer is transferred to a small town with a dark secret.'],121,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""b89397b5-c062-427e-ae05-7826ec01ec87"")>"
12,Kill Bill: Vol. 2,2004,"['Action, Crime, Thriller']",Quentin Tarantino ,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah","['The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.']",137,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""a2601c50-0c49-4513-b0f4-93b09a806a9c"")>"
13,Casino Royale,2006,"['Action, Adventure, Thriller']",Martin Campbell ,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright","['After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.']",144,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""803c5c08-83e2-401c-9354-6bc95b03c305"")>"
14,Apocalypto,2006,"['Action, Adventure, Drama']",Mel Gibson ,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood","['As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.']",139,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""f378d702-8036-45a8-b423-b8629180e355"")>"
15,Mad Max: Fury Road,2015,"['Action, Adventure, Sci-Fi']",George Miller ,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz","['In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.']",120,8.1,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""0df155fd-4508-43d6-a25e-f48c44afa5c8"")>"
16,The Revenant,2015,"['Action, Adventure, Drama']",Alejandro G. Iñárritu ,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",['A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.'],156,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""d81a5b86-f6dc-4ebb-b435-b0d2b65caf82"")>"
